DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,Days since Date Added,Recent City_amersfoort,Recent City_amsterdam,Recent City_breda,Recent City_den haag,Recent City_eindhoven,Recent City_groningen,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent City_zwolle,dbscan_cluster
387,2,99.06,49.53,73.9,3,2.0,32.21,36.95,0,0,1,0,0,0,0,0,1,0,0,0.09,0,0,0,1,1,635,387,635,1,False,False,False,False,False,False,False,False,True,False,-1
254,2,232.25,116.12,213.92,8,4.0,27.16,33.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,1,1,269,28,269,1,False,False,False,False,False,False,False,False,False,False,-1
387,2,148.55,49.52,76.81,6,2.0,19.76,26.95,0,0,1,0,0,1,0,1,1,0,0,0.09,0,1,1,1,1,669,230,669,1,False,False,False,False,False,False,False,False,False,False,-1
140,1,123.8,61.9,61.9,2,1.0,30.95,30.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,0,0,0,1,140,113,140,1,False,False,False,False,False,False,True,False,False,False,12
42,1,28.95,28.95,28.95,1,1.0,28.95,28.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,0,0,42,15,42,1,False,False,False,False,False,False,False,False,False,True,-1
387,1,73.9,73.9,73.9,2,2.0,36.95,36.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,2,0,1,1,641,240,641,1,False,False,False,False,False,False,False,False,False,False,5
387,1,24.61,24.61,24.61,1,1.0,28.2,28.2,0,0,1,0,0,0,0,1,1,0,0,0.15,0,1,0,1,1,928,56,893,1,False,False,False,False,False,False,False,False,False,False,4
387,1,55.9,55.9,55.9,2,2.0,27.95,27.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,1,0,0,0,1043,387,879,1,False,False,False,False,False,False,False,False,False,False,13
377,1,679.14,339.57,339.57,14,7.0,26.95,26.95,0,0,1,0,0,0,0,1,1,0,0,0.11,0,0,0,0,1,398,319,394,1,False,False,False,False,False,False,False,False,False,False,-1
2,1,64.62,64.62,64.62,1,1.0,129.23,129.23,0,0,0,0,0,0,1,1,1,0,0,1.0,0,1,1,0,1,2,-1,2,1,False,True,False,False,False,False,False,False,False,False,-1
275,1,70.12,70.12,70.12,2,2.0,38.95,38.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,1,1,327,41,327,1,False,False,False,False,False,False,False,False,False,False,6
238,1,70.11,70.11,70.11,2,2.0,38.95,38.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,1,1,240,0,240,1,False,False,False,False,False,False,False,False,False,False,6
301,2,107.82,53.91,59.9,4,2.0,29.95,29.95,0,0,1,0,0,0,1,0,1,0,0,0.25,1,0,0,1,1,476,208,464,1,False,False,False,False,False,False,False,False,False,False,14
68,5,539.97,77.14,113.81,14,2.0,26.68,33.95,0,0,1,0,0,0,1,0,1,0,0,0.25,0,1,0,1,1,623,37,623,1,False,False,False,False,False,False,False,False,False,False,-1
244,2,641.54,106.92,134.03,10,2.0,20.26,26.95,0,0,0,0,0,0,1,0,1,0,0,0.25,0,1,1,1,0,282,41,282,1,False,False,False,False,False,False,False,False,False,False,-1
387,2,56.01,28.0,29.95,2,1.0,29.33,29.95,0,0,1,0,0,0,0,0,1,0,0,0.1,0,0,0,1,1,581,231,581,1,False,False,False,False,False,False,False,False,False,False,15
