,hc_cluster,DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,city_ordered,country_ordered,Recent City_Other,Recent City_amsterdam,Recent City_den haag,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent Country_Other,Recent Country_be,Recent Country_de,Recent Country_nl
0,0,288.16,1.53,217.43,66.64,72.24,3.88,1.53,31.27,33.65,0.08,0.02,0.42,0.08,0.01,0.14,0.41,0.59,1.0,0.28,0.0,0.11,0.17,0.94,0.19,0.56,0.96,501.51,125.26,482.29,2086.37,11.84,0.91,0.03,0.01,0.01,0.02,0.02,0.0,0.16,0.0,0.84
1,1,186.38,1.44,346.29,87.33,93.86,4.56,1.56,31.08,33.11,0.0,0.06,0.25,0.12,0.0,0.0,0.75,0.75,0.38,0.25,0.56,0.2,0.25,1.5,0.31,0.5,0.88,275.0,50.06,274.38,421.81,5.81,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,2,321.17,1.17,240.51,93.69,94.36,3.67,1.67,31.59,35.84,0.17,0.0,0.5,0.17,0.17,0.0,0.17,1.0,0.5,0.0,0.5,0.13,0.0,1.0,0.0,0.5,1.0,534.0,166.5,501.17,336.83,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,112.0,2.0,23182.52,858.61,881.8,68.0,3.0,31.95,34.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,129.0,85.0,129.0,2414.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,338.0,33.0,4644.82,84.89,202.24,86.5,1.5,28.11,34.95,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,0.5,1.0,1.0,1119.0,-1.5,893.0,2477.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
